URL,Title,Selection,Folder
https://aws.amazon.com/blogs/aws/prime-day-2017-powered-by-aws/,Prime Day 2017 – Powered by AWS | Amazon Web Services,,Unread
http://www.zeit.de/digital/internet/2017-09/lobbyismus-google-usa-einfluss-politik,Lobbyismus: Der Google-Staat,,Unread
https://azure.microsoft.com/en-us/blog/microsoft-tech-summit-is-back-register-for-a-free-event-near-you/,Microsoft Tech Summit is back – register for a free event near you!,,Events
https://blogs.msdn.microsoft.com/dotnet/2017/09/13/net-framework-4-7-1-asp-net-and-configuration-features/,.NET Framework 4.7.1 ASP.NET and Configuration features,,Unread
https://www.heise.de/developer/meldung/GitHub-Enterprise-erleichtert-Strukturierung-der-Zustaendigkeiten-3831133.html,GitHub Enterprise erleichtert Strukturierung der Zuständigkeiten,,Unread
https://www.bugsnag.com/platforms/javascript/?utm_campaign=javascript&utm_content=free-trial&utm_medium=cpc&utm_source=carbon&utm_term=css-tricks-20170907,Detect JavaScript errors on your website,,"js, ts, html, css, electron"
https://css-tricks.com/html-templates-via-javascript-template-literals/,HTML Templates via JavaScript Template Literals | CSS-Tricks,,"js, ts, html, css, electron"
https://entwickler.de/online/iot/echo-show-skill-entwicklung-579812238.html,Echo Show – Entwicklung von Skills für Multiple Interfaces,,Unread
https://basta.net/blog/ueberblick-zum-sql-server-2017/,Die Neuerungen von SQL Server 2017 im Überblick - entwickler.de,,microsoft
https://electron.atom.io/blog/2017/06/01/typescript,Announcing TypeScript support in Electron,,"js, ts, html, css, electron"
http://www.dotnetcurry.com/dotnet/1308/dotnet-core-future-of-dotnet-framework,.NET Core: .NET of Future or Future of .NET? | DotNetCurry,,microsoft
https://aws.amazon.com/blogs/aws/new-network-load-balancer-effortless-scaling-to-millions-of-requests-per-second/,New Network Load Balancer – Effortless Scaling to Millions of Requests per Second | Amazon Web Services,,Unread
https://angular-days.de/blog/interview/das-web-hat-gewonnen/,"Cross-Plattform: Das Web hat ""gewonnen""",,"js, ts, html, css, electron"
https://www.heise.de/developer/artikel/REST-APIs-mit-Node-js-und-Swagger-3820025.html,REST-APIs mit Node.js und Swagger,,Unread
https://blog.docker.com/2017/08/whats-new-docker-enterprise-edition-webinar-recap/,What’s New in Docker Enterprise Edition Webinar Recap - Docker Blog,,docker
http://www.dotnetpro.de/core/miniserver-core-so-schnell-es-geht.-1281861.html,"""Miniserver mit Core sind so schnell, wie es nur geht.""",,Unread
https://blog.docker.com/2017/08/video-series-modernizing-net-apps-it-pros/,Video Series: Modernizing .NET Apps for IT Pros - Docker Blog,,docker
https://stefanscherer.github.io/get-started-with-docker-on-windows-using-chocolatey/,Get started with Docker on Windows using Chocolatey,,docker
https://stefanscherer.github.io/build-your-local-windows-docker-swarm/,Run a local Windows Docker Swarm,,docker
https://stefanscherer.github.io/docker-swarm-mode-windows10/,Getting started with Docker Swarm-mode on Windows 10,,docker
https://stefanscherer.github.io/use-multi-stage-builds-for-smaller-windows-images/,Use multi-stage builds for smaller Windows images,,docker
https://stefanscherer.github.io/exploring-new-nanoserver-insider-images/,Exploring new NanoServer Insider images,,docker
https://github.com/docker/for-win/issues/185,"Put ""C:\ProgramData\Docker"" on a different drive? Configuration option? · Issue #185 · docker/for-win",,Unread
https://dotnetcodr.com/2017/08/22/getting-notified-by-a-windows-service-status-change-in-c-net-3/,Getting notified by a Windows Service status change in C# .NET,,Unread
https://entwickler.de/online/datenbanken/indexvarianten-579767839.html,SQL Server Indizes – Indexvarianten: Der Mix macht's,,Unread
https://blog.docker.com/2017/08/what-is-containerd-runtime/,What is containerd ? - Docker Blog,,docker
https://www.johner-institut.de/blog/iec-62304-medizinische-software/software-freigabe/,Software-Freigabe: ein „beliebtes“ Missverständnis,,Unread
https://martinfowler.com/articles/architect-elevator.html,The Architect Elevator — Visiting the upper floors,,Unread
http://it-and-more.blogspot.com/2016/10/bauen-versus-basteln.html,Bauen versus Basteln,,Unread
https://entwickler.de/online/datenbanken/spezielle-indexformen-241163.html,SQL Server Indizes – Spezielle Indexformen,,Unread
https://jaxenter.de/docker-ee-17-06-60850,Docker EE 17.06: Multi-Architektur-Orchestrierung & Sicherheitsupdates,,Unread
https://www.heise.de/developer/meldung/NET-Core-2-0-und-die-zugehoerige-Produktfamilie-sind-fertig-3801615.html,.NET Core 2.0 und die zugehörige Produktfamilie sind fertig,,Unread
https://blogs.msdn.microsoft.com/dotnet/2017/07/26/the-new-net-application-architecture-guidance/,.NET Application Architecture Guidance,,Unread
https://blogs.msdn.microsoft.com/dotnet/2017/08/09/web-apps-aspnetcore-architecture-guidance/,Web Applications with ASP.NET Core Architecture and Patterns guidance,,Unread
https://blogs.msdn.microsoft.com/dotnet/2017/08/02/microservices-and-docker-containers-architecture-patterns-and-development-guidance/,"Microservices and Docker containers: Architecture, Patterns and Development guidance",,Unread
https://aws.amazon.com/de/blogs/developer/category/net/,.NET | AWS Developer Blog,,Unread
https://www.heise.de/developer/meldung/NET-Standard-2-0-ist-fertig-und-NET-Core-2-0-auf-der-Zielgeraden-3796910.html,.NET Standard 2.0 ist fertig und .NET Core 2.0 auf der Zielgeraden,,Unread
http://www.heise.de/security/meldung/Sichere-Passwoerter-Viele-der-herkoemmlichen-Sicherheitsregeln-bringen-nichts-3797935.html,Sichere Passwörter: Viele der herkömmlichen Sicherheitsregeln bringen nichts,,Unread
https://modernizr.com/,Modernizr: the feature detection library for HTML5/CSS3,,"js, ts, html, css, electron"
https://caniuse.com/,"Can I use... Support tables for HTML5, CSS3, etc",,"js, ts, html, css, electron"
https://platform.html5.org/,The Web Platform: Browser technologies,,"js, ts, html, css, electron"
https://html5boilerplate.com/,HTML5 Boilerplate: The web’s most popular front-end template,,"js, ts, html, css, electron"
https://www.grc.com/x/ne.dll?bh0bkyd2=,GRC | ShieldsUP! — Internet Vulnerability Profiling,,tools
http://www.pyimagesearch.com/2016/10/24/ubuntu-16-04-how-to-install-opencv/,Ubuntu 16.04: How to install OpenCV - PyImageSearch,,z-wave
https://aspnetboilerplate.com/Pages/Documents,ASP.NET Boilerplate - Web Application Framework | ASP.NET Boilerplate Docum,,microsoft
https://jsperf.com/,jsPerf: JavaScript performance playground,,"js, ts, html, css, electron"
https://stackoverflow.com/questions/4809430/visual-studio-log-file,logging - Visual Studio log file - Stack Overflow,,microsoft
https://human.biodigital.com/signin.html,BioDigital Human: Anatomy and Health Conditions in Interactive 3D,,onkologie
https://www.siio.de/kleine-lua-scripte-teil-7-online-status-abpruefen/,Ping Pong - Geräte im Netzwerk überwachen,,z-wave
https://ayende.com/blog/3102/rhino-etl-2-0,Rhino ETL 2.0 - Ayende @ Rahien,,microsoft
https://docs.microsoft.com/en-us/dotnet/framework/wcf/extending/how-to-create-a-custom-security-token-authenticator,How to: Create a Custom Security Token Authenticator,,microsoft
https://www.siio.de/siri-fibaro/,Fibaro & HomeKit - Smart Home Sprachsteuerung mit Siri ganz einfach! | Smar,,z-wave
https://msdn.microsoft.com/en-us/library/system.identitymodel.services.wsfederationauthenticationmodule.createsigninrequest(v=vs.110).aspx,"WSFederationAuthenticationModule.CreateSignInRequest Method (String, String",,microsoft
https://www.atlassian.com/git/tutorials/comparing-workflows,Git Workflows and Tutorials | Atlassian Git Tutorial,,git
https://www.microsoft.com/de-de/newsletter/default.aspx,Microsoft - Newsletter,,microsoft
https://www.onkopedia.com/de/onkopedia/guidelines,Leitlinien — Onkopedia,,onkologie
https://github.com/IdentityModel/Thinktecture.IdentityModel,GitHub - IdentityModel/Thinktecture.IdentityModel: [deprecated] Thinktectur,,microsoft
https://msdn.microsoft.com/en-us/library/ee259687.aspx,Set up Team Foundation Build Service,,microsoft
https://www.visualstudio.com/en-us/docs/build/concepts/agents/agents,Build and Release Agents,,microsoft
http://wiki.c2.com/,Welcome Visitors,,software architektur
https://blog.tonysneed.com/2012/05/28/secure-wcf-rest-services-with-a-custom-usernamepasswordvalidator/,Secure Self-Hosted WCF REST Services with a Custom UserNamePasswordValidato,,microsoft
http://www.filehelpers.net/,FileHelpers Library,,microsoft
https://stackoverflow.com/questions/2336100/rhino-etl-opinions-vs-kettle-and-ssis,Rhino ETL opinions vs Kettle and SSIS - Stack Overflow,,microsoft
https://docs.microsoft.com/en-us/virtualization/windowscontainers/,Windows Containers Documentation | Microsoft Docs,,docker
http://www.popp.eu/de/produkte/aktoren/tueroeffner-steuerung/,Elektrische Türöffner-Steuerung (012501) | POPP,,z-wave
http://sedodream.com/2010/05/01/WebDeploymentToolMSDeployBuildPackageIncludingExtraFilesOrExcludingSpecificFiles.aspx,"Sayed Ibrahim Hashimi - MSBuild, Web Deploy (MSDeploy), ASP.NET - Web Deplo",,microsoft
https://blogs.msdn.microsoft.com/james_osbornes_blog/2010/12/10/selfhosting-a-wcf-service-over-https/,Selfhosting a WCF service over Https – James Osborne's Blog,,microsoft
https://weblogs.asp.net/gurusarkar/redirect-unauthorized-users-to-access-denied-page-instead-of-login-page,Guru Sarkar's Blog - Redirect unauthorized users to Custom Access Denied pa,,microsoft
https://brockallen.com/2013/10/22/announcing-thinktecture-embeddedsts-a-simple-local-sts-for-asp-net-applications/,"Announcing Thinktecture EmbeddedSts — a simple, local STS for ASP.NET appli",,microsoft
https://msdn.microsoft.com/en-us/library/dd468057(v=vs.110).aspx,Requirements for Creating POCO Proxies,,microsoft
https://docs.com/taylorb/8408/dockercon-2016-dockerizing-windows-server,DockerCon 2016 - Dockerizing Windows Server Applications - Docs.com,,docker
https://msdn.microsoft.com/en-us/library/jj679962(v=vs.113).aspx,Entity Framework Code First Conventions,,microsoft
https://www.johner-institut.de/blog/regulatory-affairs/mdr-regel-10a/,MDR Regel 11 / Rule 11: Der Klassifizierungs-Albtraum,,iso-13485
https://blogs.msdn.microsoft.com,"MSDN Blogs – Get the latest information, insights, announcements, and news",,microsoft
https://msdn.microsoft.com/en-us/library/jj591617(v=vs.113).aspx,Entity Framework Fluent API - Configuring and Mapping Properties and Types,,microsoft
http://37.60.250.76/~lcube750/hello-world-rhino-etl/,Hello World Rhino ETL | LCube,,microsoft
https://stackoverflow.com/questions/7251477/what-are-the-differences-between-double-dot-and-triple-dot-in-git-dif/7256391,"What are the differences between double-dot "".."" and triple-dot ""..."" in Gi",,git
http://resizemybrowser.com/,resizeMyBrowser,,"js, ts, html, css, electron"
https://msdn.microsoft.com/en-us/library/dn582034(v=vs.113).aspx,Entity Framework Improving Startup Performance with NGen (EF6 Onwards),,microsoft
https://myignite.microsoft.com,MyIgnite - On Demand Detail,,docker
http://www.baumkunde.de/,"Baumbestimmung leicht gemacht, Bäume bestimmen, Baum Bestimmung",,Archive
https://web.archive.org/web/20140601110310/http://sparkviewengine.com/documentation,Spark Documentation | Spark View Engine,,microsoft
http://www.entityframeworktutorial.net/code-first/configure-one-to-one-relationship-in-code-first.aspx,Configure One-to-One relationship in Code First Entity Framework,,microsoft
http://blog.sixeyed.comhttp://blog.sixeyed.com/relay-iis-log-entries-to-read-them-in-docker/,Relay IIS Log Entries to the Console and Read Them in Docker | Elton Stonem,,docker
https://www.red-gate.com/simple-talk/dotnet/asp-net/handling-errors-effectively-in-asp-net-mvc/,Handling Errors Effectively in ASP.NET MVC - Simple Talk,,microsoft
http://groups.eortc.be/qol/eortc-qlq-c30,Questionnaires | EORTC,,onkologie
https://blogs.msdn.microsoft.com/hongmeig/2010/03/05/timeouts-in-wcf-and-their-default-values/,Timeouts in WCF and their default values,,microsoft
http://codebetter.com/petervanooijen/2010/03/22/a-simple-wcf-service-with-username-password-authentication-the-things-they-don-t-tell-you/,A simple WCF service with username password authentication: the things they,,microsoft
https://www.onlinesicherheit.gv.at/,Onlinesicherheit,,Archive
